MatrixSize	V0	B2	B4	B8	B16	B32	B64	B128
14336	2,771545	1,421604	0,764157	0,495859	0,792481	0,751295	0,874361	0,852066
14464	2,469733	1,299986	0,712166	0,469879	0,32826	0,329638	0,486211	0,519583
14592	2,882897	1,385572	0,741965	0,481338	0,338932	0,393388	0,73496	0,712787
14720	2,577832	1,359294	0,748183	0,551158	0,357256	0,359203	0,506819	0,54254
14848	2,933972	1,513521	0,775998	0,498196	0,38637	0,781244	0,775475	0,773302
14976	2,829274	1,431165	0,938436	0,544935	0,375228	0,363113	0,53083	0,580934
15104	2,971066	1,737417	0,793579	0,530407	0,378212	0,479829	0,807845	0,79929
15232	2,976694	1,646458	0,908973	0,534428	0,370072	0,442728	0,58305	0,635481
15360	3,351984	1,658533	0,905633	0,567628	0,858893	0,856934	0,916442	1,1165
15488	3,66295	1,729986	0,891968	0,60988	0,383208	0,415002	0,591664	0,617467
15616	3,511783	1,906331	1,16825	0,58887	0,402803	0,458309	0,852869	0,82531
15744	3,331737	1,809735	0,960519	0,640518	0,450044	0,463556	0,610452	0,623286
15872	3,610549	2,59793	1,111558	0,63377	0,457395	0,968791	0,969074	0,921403
16000	3,563905	1,773076	0,998148	0,614732	0,472683	0,463179	0,626137	0,686918
16128	3,62259	1,904459	1,52654	0,649079	0,515166	0,525858	0,937658	0,890689
16256	3,373993	1,829735	1,50777	0,942931	0,419761	0,400639	0,672131	0,674022
16384	3,683058	1,865448	1,19944	0,711233	1,161687	1,139986	1,880035	2,306789
